Start Date,End Date,Country Name,ISO,Location,Latitude,Longitude,Magnitude Value,Magnitude Scale,Disaster Type,Disaster subtype,Total deaths,Total affected,Total damage ($),Disaster Name,Disaster Year,Disaster No.
9/5/90,9/5/90,India,IND,"Guntur, Krishna, East and West Godavari, Visakhapatnam districts (Andhra Pradesh)",,,,Kph,Storm,Tropical cyclone,957,2600000,580000,02B,1990,1990-0019
22/06/1990,22/06/1990,Philippines (the),PHL,North and Eastern Luzon,,,150,Kph,Storm,Tropical cyclone,64,160014,,OFELIA (BIRING) & PERCY,1990,1990-0025
/08/1990,/08/1990,Viet Nam,VNM,"Ky Anh, Quang Trach, Quang Binh district + Son (Ha Nam Ninh province), Tra Ling (Thai Binh province)",,,,Kph,Storm,Tropical cyclone,19,500108,,BECKY,1990,1990-0069
2/5/90,2/5/90,Bangladesh,BGD,"Manikganj, Siranjganj, Chandpur districts",,,,Kph,Storm,Convective storm,,,,,1990,1990-0090
22/04/1990,22/04/1990,Bangladesh,BGD,South East,,,,Kph,Storm,Convective storm,54,40200,,,1990,1990-0096
12/11/90,16/11/1990,Philippines (the),PHL,"Samar, Masbate provinces, Palwan, Iloilo, Negros occidental, Cebu",,,240,Kph,Storm,Tropical cyclone,503,6159569,388500,MIKE (RUPING),1990,1990-0122
20/08/1990,20/08/1990,India,IND,Golfe du Bengale,,,,Kph,Storm,Convective storm,500,,,,1990,1990-0396
25/08/1990,25/08/1990,India,IND,Gujarat,,,,Kph,Storm,Convective storm,120,,2200000,,1990,1990-0397
28/08/1990,28/08/1990,Philippines (the),PHL,,,,,Kph,Storm,Tropical cyclone,85,,,BECKY,1990,1990-0400
30/08/1990,30/08/1990,Philippines (the),PHL,North,,,,Kph,Storm,Tropical cyclone,85,,,ABE,1990,1990-0401
8/10/90,26/10/1990,Thailand,THA,Central and northeastern Provinces,,,,Kph,Storm,Tropical cyclone,36,,50000,IRA,1990,1990-0409
15/11/1990,15/11/1990,Viet Nam,VNM,Nghe Tinh,,,,Kph,Storm,Tropical cyclone,68,,,,1990,1990-0418
